Title,Lifetime Gross,Year
Dirty Dancing,214577242,1987
Creed II,214215889,2018
Public Enemies,214104620,2009
The Bourne Identity,214034224,2002
Disclosure,214015089,1994
"Crouching Tiger, Hidden Dragon",213978518,2000
Pulp Fiction,213928762,1994
The Aviator,213719942,2004
Braveheart,213216216,1995
Into the Woods,212902959,2014
Bedtime Stories,212874864,2008
Miss Congeniality,212742720,2000
Entrapment,212404396,1999
Ace Ventura: When Nature Calls,212385533,1995
End of Days,211989043,1999
Bridget Jones's Baby,211952420,2016
Fury,211822697,2014
Battle Los Angeles,211819354,2011
Australia,211788761,2008
Due Date,211780824,2010
Master and Commander: The Far Side of the World,211622535,2003
A Series of Unfortunate Events,211468235,2004
The Little Mermaid,211343479,1989
Nice View,211019042,2022
District 9,210888950,2009
Moonraker,210308099,1979
The Others,210002906,2001
Horrible Bosses,209838559,2011
Trolls Band Together,209371293,2023
Us and Them,209221380,2018
Red Dragon,209196298,2002
Tomorrowland,209035668,2015
Me Before You,208445075,2016
Dungeons & Dragons: Honor Among Thieves,208177026,2023
Safe House,208076205,2012
S.W.A.T.,207725639,2003
DC League of Super-Pets,207557117,2022
The Fast and the Furious,207517995,2001
Traffic,207515725,2000
Paranormal Activity 3,207039844,2011
Philadelphia,206678440,1993
The Conjuring: The Devil Made Me Do It,206431050,2021
The Marvels,206136825,2023
Sleepy Hollow,206071526,1999
Ponyo,205923856,2008
The Holiday,205891960,2006
The Jungle Book,205843612,1967
Raging Fire,205842393,2021
London Has Fallen,205754447,2016
The Break-Up,205668210,2006
Journey to the West: Conquering the Demons,205637183,2013
The Ugly Truth,205599393,2009
Birds of Prey,205537933,2020
JFK,205405498,1991
White House Down,205366737,2013
A Dog's Purpose,205035819,2017
Fun with Dick and Jane,204681899,2005
Eat Pray Love,204596571,2010
The Addams Family,204394183,2019
Ghostbusters: Afterlife,204334455,2021
You Don't Mess with the Zohan,204313400,2008
Hairspray,203630031,2007
King Arthur,203567857,2004
Yogi Bear,203509374,2010
Everest,203427584,2015
Arrival,203389228,2016
Vanilla Sky,203388341,2001
Need for Speed,203277636,2014
Garfield: The Movie,203172417,2004
Patch Adams,202292902,1998
PAW Patrol: The Mighty Movie,202231360,2023
Teenage Mutant Ninja Turtles,202084756,1990
Kindergarten Cop,201957688,1990
Ghostbusters: Frozen Empire,201856657,2024
Straight Outta Compton,201634991,2015
21 Jump Street,201585556,2012
Valkyrie,201545517,2008
Open Season,200811689,2006
Cats & Dogs,200687492,2001
The Hunt for Red October,200512643,1990
Percy Jackson: Sea of Monsters,199850315,2013
The Lego Movie 2: The Second Part,199603202,2019
Two Weeks Notice,199043471,2002
RED,199006387,2010
Shock Wave 2,198921659,2020
City of Angels,198685114,1998
The Pacifier,198636868,2005
50 First Dates,198520934,2004
Total Recall,198467607,2012
The Island,198326350,2018
The Impossible,198087212,2012
Lost in Thailand,197757387,2012
Christopher Robin,197744825,2018
Jack the Giant Slayer,197687603,2013
Smurfs: The Lost Village,197183546,2017
Chinese Doctors,197143218,2021
Spy Kids 3: Game Over,197101678,2003
Panic Room,197079546,2002
The Other Woman,196710396,2014
Stargate,196567262,1994
Beowulf,196393745,2007
The Vow,196114570,2012
Anger Management,195745823,2003
Tropic Thunder,195703351,2008
Rocketman,195320400,2019
The Pelican Brief,195268056,1993
The Shape of Water,195243464,2017
The BFG,195243411,2016
The Intern,194764672,2015
Downton Abbey,194694725,2019
Gnomeo & Juliet,193967670,2011
The Sum of All Fears,193921372,2002
Gangs of New York,193772504,2002
The Post,193764664,2017
The Monkey King 2,193678298,2016
Paranormal Activity,193355933,2009
The Lost City,192907684,2022
Wallace & Gromit: The Curse of the Were-Rabbit,192652752,2005
The Equalizer,192330738,2014
Weathering with You,192011547,2019
Sheep Without a Shepherd,191602146,2019
The Addams Family,191502426,1991
The Longest Yard,191466556,2005
The Equalizer 3,191067560,2023
The Santa Clause,190539357,1994
Cheaper by the Dozen,190538630,2003
The Equalizer 2,190400157,2018
Abominable,190304772,2019
IF,190234287,2024
Hollow Man,190213455,2000
Outbreak,189859560,1995
The White Storm 2: Drug Lords,189396380,2019
The X Files,189176423,1998
Insidious: The Red Door,189086877,2023
Breakup Buddies,189017596,2014
Rambo III,189015611,1988
The Secret Life of Walter Mitty,188133322,2013
Project Gutenberg,188116796,2018
Jaws 2,187884007,1978
12 Years a Slave,187734091,2013
Heat,187436818,1995
Mr. Popper's Penguins,187361754,2011
The Grudge,187281115,2004
I Now Pronounce You Chuck & Larry,187134117,2007
The Horse Whisperer,186883563,1998
Walk the Line,186797986,2005
Jian Bing Man,186699768,2015
The Jungle Book 2,186303759,2003
The Final Destination,186167139,2009
Atlantis: The Lost Empire,186053725,2001
Inside Man,186003591,2006
The Waterboy,185991646,1998
Hugo,185770310,2011
Pitch Perfect 3,185400345,2017
Watchmen,185382813,2009
The Birdcage,185260553,1996
Snow White and the Seven Dwarfs,184960747,1937
Moulin Rouge!,184935252,2001
Ode to My Father,184827559,2014
Hop,184367665,2011
Jupiter Ascending,184287723,2015
Bad Moms,183936074,2016
Storks,183800603,2016
